2020_01_07_10_26_40_007,7775,-752,-3473,-110,-12,-5,77
2020_01_07_10_26_40_017,7785,-774,-3436,-112,-11,-5,77
2020_01_07_10_26_40_027,7803,-749,-3480,-113,-10,-5,77
2020_01_07_10_26_40_037,7763,-752,-3451,-113,-10,-5,77
2020_01_07_10_26_40_047,7778,-768,-3453,-112,-12,-3,77
2020_01_07_10_26_40_057,7763,-742,-3456,-110,-10,-4,77
2020_01_07_10_26_40_067,7755,-760,-3415,-108,-12,-4,77
2020_01_07_10_26_40_077,7762,-769,-3485,-110,-12,-5,77
2020_01_07_10_26_40_087,7764,-753,-3451,-106,-15,-4,77
2020_01_07_10_26_40_097,7770,-753,-3462,-108,-14,-3,77
2020_01_07_10_26_40_107,7781,-747,-3451,-108,-13,-3,77
2020_01_07_10_26_40_117,7775,-754,-3457,-109,-13,-2,77
2020_01_07_10_26_40_127,7755,-773,-3434,-113,-10,-2,77
2020_01_07_10_26_40_137,7767,-752,-3491,-115,-11,-2,77
2020_01_07_10_26_40_147,7785,-760,-3467,-113,-12,-3,77
2020_01_07_10_26_40_157,7766,-740,-3449,-114,-11,-1,77
2020_01_07_10_26_40_167,7759,-742,-3457,-112,-10,0,77
2020_01_07_10_26_40_177,7768,-741,-3438,-111,-11,-1,77
2020_01_07_10_26_40_187,7764,-757,-3415,-112,-10,-1,77
2020_01_07_10_26_40_197,7764,-772,-3405,-114,-10,-3,77
2020_01_07_10_26_40_207,7783,-756,-3453,-114,-9,-3,77
2020_01_07_10_26_40_217,7780,-713,-3442,-112,-9,-4,77
2020_01_07_10_26_40_227,7776,-764,-3469,-111,-10,-3,77
2020_01_07_10_26_40_237,7751,-759,-3445,-110,-15,-3,77
2020_01_07_10_26_40_247,7804,-744,-3438,-105,-15,-5,77
2020_01_07_10_26_40_257,7773,-766,-3454,-105,-14,-4,77
2020_01_07_10_26_40_267,7768,-776,-3460,-104,-13,-3,77
2020_01_07_10_26_40_277,7755,-764,-3446,-107,-15,-5,77
2020_01_07_10_26_40_287,7734,-760,-3437,-105,-14,-6,77
2020_01_07_10_26_40_297,7779,-775,-3418,-102,-14,-5,77
2020_01_07_10_26_40_307,7790,-768,-3424,-102,-14,-6,77
2020_01_07_10_26_40_317,7754,-757,-3411,-105,-10,-3,77
2020_01_07_10_26_40_327,7769,-753,-3413,-105,-10,-2,77
2020_01_07_10_26_40_337,7770,-745,-3430,-108,-11,-3,77
2020_01_07_10_26_40_347,7769,-768,-3446,-107,-12,-3,77
2020_01_07_10_26_40_357,7770,-754,-3453,-103,-12,-4,77
2020_01_07_10_26_40_367,7746,-772,-3435,-104,-13,-3,77
2020_01_07_10_26_40_377,7750,-773,-3435,-105,-14,-3,77
2020_01_07_10_26_40_387,7751,-785,-3439,-104,-13,-3,77
2020_01_07_10_26_40_397,7748,-795,-3452,-104,-15,-3,77
2020_01_07_10_26_40_407,7794,-790,-3466,-102,-16,-4,77
2020_01_07_10_26_40_417,7781,-782,-3443,-98,-15,-4,77
2020_01_07_10_26_40_427,7789,-770,-3427,-99,-13,-4,77
2020_01_07_10_26_40_437,7781,-763,-3415,-101,-14,-5,77
2020_01_07_10_26_40_447,7765,-795,-3432,-103,-16,-5,77
2020_01_07_10_26_40_457,7767,-759,-3398,-101,-18,-8,77
2020_01_07_10_26_40_467,7793,-750,-3403,-103,-14,-8,77
2020_01_07_10_26_40_477,7785,-769,-3456,-107,-14,-7,77
