2020_01_07_10_25_00_000,-616,5396,5937,39,68,6,1610
2020_01_07_10_25_00_010,-624,5395,5937,35,67,2,1610
2020_01_07_10_25_00_020,-634,5394,5927,28,65,4,1610
2020_01_07_10_25_00_030,-625,5433,5949,20,62,8,1610
2020_01_07_10_25_00_040,-629,5419,5961,13,59,9,1610
2020_01_07_10_25_00_050,-630,5412,5951,4,60,14,1610
2020_01_07_10_25_00_060,-575,5410,5929,1,60,16,1610
2020_01_07_10_25_00_070,-602,5388,5916,-5,57,13,1610
2020_01_07_10_25_00_080,-586,5353,5886,-4,58,12,1609
2020_01_07_10_25_00_090,-600,5334,5934,3,59,12,1609
2020_01_07_10_25_00_100,-611,5352,5928,12,64,11,1610
2020_01_07_10_25_00_110,-632,5354,6000,38,63,12,1610
2020_01_07_10_25_00_120,-628,5378,5988,49,63,11,1610
2020_01_07_10_25_00_130,-665,5366,5958,54,61,11,1610
2020_01_07_10_25_00_140,-652,5386,5987,54,60,11,1610
2020_01_07_10_25_00_150,-640,5354,5959,55,60,8,1609
2020_01_07_10_25_00_160,-632,5365,5936,56,57,10,1609
2020_01_07_10_25_00_170,-639,5373,5946,56,59,10,1609
2020_01_07_10_25_00_180,-646,5352,5917,58,59,11,1610
2020_01_07_10_25_00_190,-609,5373,5946,58,61,12,1609
2020_01_07_10_25_00_200,-614,5395,5954,52,59,13,1610
2020_01_07_10_25_00_210,-633,5387,5913,44,59,14,1609
2020_01_07_10_25_00_220,-614,5369,5911,42,62,16,1609
2020_01_07_10_25_00_230,-617,5341,5891,46,63,16,1610
2020_01_07_10_25_00_240,-638,5350,5919,52,64,15,1609
2020_01_07_10_25_00_250,-614,5360,5963,54,61,12,1609
2020_01_07_10_25_00_260,-648,5384,5966,50,54,11,1610
2020_01_07_10_25_00_270,-646,5358,5934,48,54,8,1610
2020_01_07_10_25_00_280,-639,5327,5940,46,55,6,1609
2020_01_07_10_25_00_290,-646,5309,5948,52,57,8,1609
2020_01_07_10_25_00_300,-626,5386,5945,54,52,8,1609
2020_01_07_10_25_00_310,-634,5383,5899,57,52,3,1609
2020_01_07_10_25_00_320,-627,5358,5937,57,55,1,1609
2020_01_07_10_25_00_330,-627,5341,5943,56,56,2,1609
2020_01_07_10_25_00_340,-618,5344,5945,57,58,3,1610
2020_01_07_10_25_00_350,-635,5380,5905,61,57,1,1609
2020_01_07_10_25_00_360,-657,5392,5940,60,56,0,1609
2020_01_07_10_25_00_370,-626,5381,5957,56,55,5,1609
2020_01_07_10_25_00_380,-623,5371,5960,56,51,6,1610
2020_01_07_10_25_00_390,-629,5352,5953,58,49,6,1610
2020_01_07_10_25_00_400,-645,5294,5934,62,48,2,1610
2020_01_07_10_25_00_410,-615,5339,5934,74,55,2,1609
2020_01_07_10_25_00_420,-627,5373,5920,75,56,1,1610
2020_01_07_10_25_00_430,-642,5410,5967,73,57,3,1609
2020_01_07_10_25_00_440,-648,5416,6003,55,57,4,1609
2020_01_07_10_25_00_450,-651,5417,5960,51,57,1,1609
2020_01_07_10_25_00_460,-655,5366,5950,49,60,0,1609
2020_01_07_10_25_00_470,-663,5316,5943,53,63,5,1609
2020_01_07_10_25_00_480,-651,5350,5922,62,61,12,1609
2020_01_07_10_25_00_490,-629,5384,5929,62,63,11,1609
2020_01_07_10_25_00_500,-629,5355,5947,60,62,8,1609
2020_01_07_10_25_00_510,-636,5379,5913,56,61,8,1609
2020_01_07_10_25_00_520,-633,5370,5961,59,58,5,1609
2020_01_07_10_25_00_530,-642,5354,5976,60,60,4,1609
2020_01_07_10_25_00_540,-639,5413,5959,60,59,3,1609
2020_01_07_10_25_00_550,-651,5390,5933,54,58,1,1610
2020_01_07_10_25_00_560,-644,5378,5988,50,58,2,1609
2020_01_07_10_25_00_570,-647,5382,5948,50,58,4,1609
2020_01_07_10_25_00_580,-650,5416,5989,49,57,7,1610
2020_01_07_10_25_00_590,-660,5424,5964,45,57,14,1609
2020_01_07_10_25_00_600,-635,5399,5953,41,53,16,1609
2020_01_07_10_25_00_610,-648,5379,5954,36,51,20,1609
2020_01_07_10_25_00_620,-657,5366,5929,35,45,21,1609
2020_01_07_10_25_00_630,-647,5356,5941,31,40,21,1610
2020_01_07_10_25_00_640,-627,5354,5935,32,41,20,1610
2020_01_07_10_25_00_650,-613,5348,5975,34,42,19,1609
2020_01_07_10_25_00_660,-609,5347,5916,38,43,15,1610
2020_01_07_10_25_00_670,-627,5358,5937,37,42,12,1610
2020_01_07_10_25_00_680,-668,5362,5949,37,43,12,1609
2020_01_07_10_25_00_690,-644,5389,5955,35,43,15,1609
2020_01_07_10_25_00_700,-626,5398,5965,33,45,20,1610
2020_01_07_10_25_00_710,-643,5406,5984,32,40,21,1610
2020_01_07_10_25_00_720,-650,5363,5921,28,40,27,1610
2020_01_07_10_25_00_730,-632,5355,5907,30,42,29,1610
2020_01_07_10_25_00_740,-649,5301,5944,36,45,27,1610
2020_01_07_10_25_00_750,-620,5347,5922,42,42,23,1610
2020_01_07_10_25_00_760,-626,5343,5928,41,39,22,1610
2020_01_07_10_25_00_770,-642,5342,5939,43,39,17,1610
2020_01_07_10_25_00_780,-621,5385,5944,36,41,14,1610
2020_01_07_10_25_00_790,-638,5370,5992,34,45,13,1610
2020_01_07_10_25_00_800,-635,5356,5960,35,47,10,1610
2020_01_07_10_25_00_810,-637,5399,5951,37,47,8,1610
2020_01_07_10_25_00_820,-647,5371,5951,36,45,5,1610
2020_01_07_10_25_00_830,-637,5347,5939,32,46,7,1610
2020_01_07_10_25_00_840,-617,5367,5916,32,47,6,1610
2020_01_07_10_25_00_850,-616,5326,5957,36,51,9,1610
2020_01_07_10_25_00_860,-619,5313,5937,41,58,12,1610
2020_01_07_10_25_00_870,-644,5328,5983,47,59,13,1611
2020_01_07_10_25_00_880,-635,5322,5929,53,60,16,1610
2020_01_07_10_25_00_890,-640,5320,5935,63,58,13,1610
2020_01_07_10_25_00_900,-615,5354,5937,65,56,11,1610
2020_01_07_10_25_00_910,-629,5353,5951,62,58,10,1611
2020_01_07_10_25_00_920,-635,5376,5973,63,59,11,1610
2020_01_07_10_25_00_930,-636,5395,5989,60,58,11,1611
2020_01_07_10_25_00_940,-654,5378,5971,60,56,13,1611
2020_01_07_10_25_00_950,-655,5355,5980,60,55,17,1611
2020_01_07_10_25_00_960,-669,5389,5985,63,50,15,1611
2020_01_07_10_25_00_970,-624,5305,5956,58,52,13,1611
2020_01_07_10_25_00_980,-639,5323,5905,59,55,12,1611
2020_01_07_10_25_00_990,-620,5328,5902,60,57,11,1611
2020_01_07_10_25_01_000,-623,5354,5911,58,54,13,1611
2020_01_07_10_25_01_010,-636,5399,5947,51,53,13,1611
2020_01_07_10_25_01_020,-620,5377,5942,49,53,11,1611
2020_01_07_10_25_01_030,-645,5357,5933,53,57,13,1611
2020_01_07_10_25_01_040,-629,5363,5956,56,57,14,1611
2020_01_07_10_25_01_050,-634,5312,5986,59,54,11,1611
2020_01_07_10_25_01_060,-636,5316,5995,63,49,10,1611
2020_01_07_10_25_01_070,-639,5322,5925,63,48,11,1611
2020_01_07_10_25_01_080,-620,5351,5912,66,51,6,1611
2020_01_07_10_25_01_090,-661,5352,5964,66,49,4,1611
2020_01_07_10_25_01_100,-636,5353,5946,64,47,1,1612
2020_01_07_10_25_01_110,-630,5336,5957,61,46,-1,1612
2020_01_07_10_25_01_120,-627,5387,5997,62,45,-7,1612
2020_01_07_10_25_01_130,-687,5394,6010,62,41,-6,1612
2020_01_07_10_25_01_140,-671,5405,6006,61,34,-7,1612
2020_01_07_10_25_01_150,-627,5405,5974,57,29,-6,1612
2020_01_07_10_25_01_160,-619,5325,5942,57,26,-1,1612
2020_01_07_10_25_01_170,-632,5335,5956,61,25,1,1612
2020_01_07_10_25_01_180,-597,5375,5976,63,24,0,1612
2020_01_07_10_25_01_190,-607,5421,5912,62,28,2,1612
2020_01_07_10_25_01_200,-616,5360,5874,59,28,4,1612
2020_01_07_10_25_01_210,-616,5381,5908,54,30,3,1612
2020_01_07_10_25_01_220,-604,5327,5913,49,33,3,1612
2020_01_07_10_25_01_230,-630,5342,5941,49,37,6,1612
2020_01_07_10_25_01_240,-623,5353,5984,52,39,8,1612
2020_01_07_10_25_01_250,-619,5398,5984,56,39,11,1612
2020_01_07_10_25_01_260,-612,5366,5953,59,36,13,1613
2020_01_07_10_25_01_270,-612,5392,5949,60,31,14,1613
2020_01_07_10_25_01_280,-660,5380,5967,58,27,11,1613
2020_01_07_10_25_01_290,-653,5357,5931,54,27,11,1612
2020_01_07_10_25_01_300,-644,5352,5943,50,31,15,1613
2020_01_07_10_25_01_310,-622,5363,5982,53,33,14,1613
2020_01_07_10_25_01_320,-622,5391,6001,54,35,16,1613
2020_01_07_10_25_01_330,-626,5385,5967,58,38,18,1613
2020_01_07_10_25_01_340,-642,5363,5908,64,38,19,1613
2020_01_07_10_25_01_350,-632,5353,5940,63,33,17,1613
2020_01_07_10_25_01_360,-612,5361,5977,65,29,16,1613
2020_01_07_10_25_01_370,-623,5369,5959,63,29,15,1613
2020_01_07_10_25_01_380,-621,5364,5973,54,29,18,1613
2020_01_07_10_25_01_390,-641,5375,5934,52,27,19,1613
2020_01_07_10_25_01_400,-619,5340,5916,52,25,19,1613
2020_01_07_10_25_01_410,-613,5339,5943,51,24,17,1613
2020_01_07_10_25_01_420,-631,5372,5961,50,28,14,1614
2020_01_07_10_25_01_430,-611,5354,5957,49,32,14,1614
2020_01_07_10_25_01_440,-598,5367,5931,50,35,13,1613
2020_01_07_10_25_01_450,-602,5372,5958,53,41,18,1614
2020_01_07_10_25_01_460,-598,5383,5919,53,45,19,1614
2020_01_07_10_25_01_470,-608,5376,5946,58,48,18,1614
2020_01_07_10_25_01_480,-603,5378,5935,56,50,16,1614
2020_01_07_10_25_01_490,-616,5367,5932,49,48,16,1613
2020_01_07_10_25_01_500,-606,5346,5948,50,47,15,1614
2020_01_07_10_25_01_510,-626,5364,5957,51,47,14,1614
2020_01_07_10_25_01_520,-606,5331,5982,55,48,13,1614
2020_01_07_10_25_01_530,-607,5351,5903,61,46,15,1614
2020_01_07_10_25_01_540,-609,5330,5928,64,48,11,1614
2020_01_07_10_25_01_550,-612,5319,5913,66,52,5,1614
2020_01_07_10_25_01_560,-608,5316,5910,69,56,-1,1614
2020_01_07_10_25_01_570,-611,5363,5946,77,64,-1,1614
2020_01_07_10_25_01_580,-627,5410,5994,76,63,0,1614
2020_01_07_10_25_01_590,-651,5385,5981,70,63,3,1614
2020_01_07_10_25_01_600,-644,5393,6008,63,61,4,1614
2020_01_07_10_25_01_610,-624,5339,5932,56,53,4,1614
2020_01_07_10_25_01_620,-609,5313,5928,56,52,4,1614
2020_01_07_10_25_01_630,-609,5309,5954,60,56,0,1615
2020_01_07_10_25_01_640,-603,5338,5929,62,62,-2,1614
2020_01_07_10_25_01_650,-598,5372,5927,64,64,-6,1615
2020_01_07_10_25_01_660,-591,5400,5907,67,67,-9,1615
2020_01_07_10_25_01_670,-623,5405,5944,63,67,-8,1615
2020_01_07_10_25_01_680,-603,5373,5963,58,59,-3,1615
2020_01_07_10_25_01_690,-591,5414,5993,57,56,-4,1615
2020_01_07_10_25_01_700,-632,5412,5967,57,51,-7,1615
2020_01_07_10_25_01_710,-629,5391,6017,55,48,-8,1615
2020_01_07_10_25_01_720,-620,5358,5982,54,43,-4,1615
2020_01_07_10_25_01_730,-617,5350,5960,54,46,-2,1615
