,TIME,EMG1,EMG2,IO,EMG3,EMG4
1,09:30:25.160,-1191.0,-814.5,-7.5,-280.5,-2905.0
3,09:30:25.162,-1205.5,-799.0,-6.0,-289.0,-2925.5
5,09:30:25.164,-1231.5,-812.0,-4.0,-305.5,-2915.5
7,09:30:25.166,-1273.0,-809.0,-2.5,-316.5,-2904.0
9,09:30:25.168,-1336.0,-806.0,-0.5,-352.0,-2899.5
11,09:30:25.170,-1375.0,-769.0,0.0,-371.0,-2895.5
13,09:30:25.172,-1409.0,-705.0,1.0,-368.0,-2894.0
15,09:30:25.174,-1420.0,-636.0,1.5,-371.5,-2858.0
17,09:30:25.176,-1448.0,-568.0,1.0,-378.0,-2859.5
19,09:30:25.178,-1476.0,-505.0,0.0,-379.0,-2905.5
21,09:30:25.180,-1496.0,-457.5,-1.0,-383.0,-2912.0
23,09:30:25.182,-1535.0,-445.5,-2.0,-414.0,-2956.5
25,09:30:25.184,-1562.0,-438.0,-2.5,-417.5,-3045.5
27,09:30:25.186,-1565.5,-433.5,-2.5,-423.0,-3007.5
29,09:30:25.188,-1579.5,-455.0,-2.0,-428.5,-2978.5
31,09:30:25.190,-1643.5,-505.0,-1.0,-470.0,-3097.5
33,09:30:25.192,-1663.5,-517.5,0.0,-474.5,-3043.0
35,09:30:25.194,-1671.0,-509.5,2.0,-462.0,-2939.0
37,09:30:25.196,-1666.5,-481.0,4.0,-452.0,-2910.0
39,09:30:25.198,-1652.5,-474.0,5.0,-431.0,-2856.0
41,09:30:25.200,-1643.0,-471.0,6.5,-445.0,-2810.5
43,09:30:25.202,-1647.5,-492.0,8.0,-452.0,-2830.5
45,09:30:25.204,-1654.5,-483.5,10.0,-457.0,-2825.5
47,09:30:25.206,-1639.5,-427.0,11.5,-447.0,-2724.5
49,09:30:25.208,-1628.5,-401.0,12.5,-447.0,-2673.0
51,09:30:25.210,-1620.5,-380.0,13.0,-446.0,-2646.5
53,09:30:25.212,-1590.5,-341.5,13.0,-428.5,-2588.5
55,09:30:25.214,-1557.0,-324.0,13.5,-423.5,-2587.5
57,09:30:25.216,-1518.5,-298.0,14.0,-406.0,-2588.5
59,09:30:25.218,-1514.0,-302.0,14.0,-397.5,-2544.5
61,09:30:25.220,-1496.5,-304.0,14.0,-404.5,-2471.5
63,09:30:25.222,-1472.5,-301.0,12.5,-401.0,-2368.5
65,09:30:25.224,-1421.0,-248.5,10.5,-389.0,-2274.0
67,09:30:25.226,-1356.5,-186.5,9.0,-383.5,-2220.0
69,09:30:25.228,-1301.5,-119.0,8.5,-378.0,-2184.0
71,09:30:25.230,-1220.0,-35.0,7.5,-350.5,-2146.0
73,09:30:25.232,-1132.5,59.5,6.5,-321.5,-2106.5
75,09:30:25.234,-1053.5,148.5,7.0,-296.0,-2043.5
77,09:30:25.236,-1010.5,192.0,8.5,-305.5,-1990.0
79,09:30:25.238,-936.5,260.0,10.0,-284.5,-1938.5
81,09:30:25.240,-887.5,299.5,11.0,-267.0,-1890.5
83,09:30:25.242,-843.5,315.0,12.0,-266.0,-1841.5
85,09:30:25.244,-762.0,345.5,11.5,-251.0,-1772.5
87,09:30:25.246,-720.0,330.5,10.5,-253.5,-1713.5
89,09:30:25.248,-617.0,349.5,10.0,-229.0,-1612.0
91,09:30:25.250,-553.5,336.5,10.0,-220.5,-1570.0
93,09:30:25.252,-465.5,355.5,11.0,-202.5,-1520.5
95,09:30:25.254,-417.5,354.5,12.0,-192.5,-1487.0
97,09:30:25.256,-340.0,378.5,13.0,-174.5,-1427.0
99,09:30:25.258,-248.5,401.0,13.5,-147.0,-1345.5
101,09:30:25.260,-171.5,400.5,14.5,-136.0,-1266.5
103,09:30:25.262,-126.0,355.5,16.5,-153.5,-1195.0
105,09:30:25.264,-18.5,375.0,18.5,-111.0,-1063.0
107,09:30:25.266,57.0,346.5,20.0,-119.5,-973.5
109,09:30:25.268,135.0,337.0,20.0,-102.0,-851.5
111,09:30:25.270,190.5,309.5,20.0,-106.5,-750.5
113,09:30:25.272,248.0,272.0,20.0,-110.0,-663.5
115,09:30:25.274,304.0,250.0,20.0,-101.5,-552.0
117,09:30:25.276,369.0,251.5,19.5,-105.5,-447.0
119,09:30:25.278,379.5,217.5,19.0,-109.0,-362.5
121,09:30:25.280,439.0,204.0,18.0,-100.0,-273.0
123,09:30:25.282,514.0,222.5,17.5,-61.5,-148.5
125,09:30:25.284,509.5,198.0,16.5,-66.0,-88.0
127,09:30:25.286,487.5,178.0,15.0,-70.0,-34.0
129,09:30:25.288,477.5,168.5,13.5,-60.0,37.0
131,09:30:25.290,471.0,169.5,13.0,-54.0,93.5
133,09:30:25.292,439.5,151.5,12.0,-65.0,121.5
135,09:30:25.294,408.0,153.5,11.5,-55.0,160.5
137,09:30:25.296,364.0,143.5,11.0,-55.0,167.5
139,09:30:25.298,333.0,119.5,10.5,-50.5,178.5
141,09:30:25.300,325.0,83.5,10.5,-48.5,202.5
143,09:30:25.302,334.5,50.5,10.5,-67.5,200.0
145,09:30:25.304,377.0,68.5,10.5,-38.0,248.0
147,09:30:25.306,372.0,68.5,10.5,-43.0,272.0
149,09:30:25.308,372.0,47.0,9.5,-45.0,280.0
151,09:30:25.310,360.0,7.0,8.0,-44.0,296.0
153,09:30:25.312,305.0,-29.0,7.0,-52.5,300.0
155,09:30:25.314,240.5,-17.0,5.5,-45.0,317.0
157,09:30:25.316,189.0,19.5,3.5,-39.5,331.0
159,09:30:25.318,139.5,23.5,3.0,-35.5,332.5
161,09:30:25.320,113.5,1.5,3.0,-37.5,310.5
163,09:30:25.322,97.5,-16.5,3.5,-29.5,293.5
165,09:30:25.324,85.5,-47.0,4.5,-30.5,280.5
167,09:30:25.326,95.5,-72.5,5.5,-23.5,292.0
169,09:30:25.328,94.0,-109.5,7.0,-37.5,283.0
171,09:30:25.330,119.5,-154.5,9.5,-24.0,297.5
173,09:30:25.332,163.5,-172.5,12.0,-0.5,333.5
175,09:30:25.334,184.5,-192.0,15.0,-10.5,323.0
177,09:30:25.336,195.5,-216.5,17.0,-20.5,303.5
179,09:30:25.338,182.0,-274.0,19.0,-32.5,287.5
181,09:30:25.340,166.0,-252.0,20.0,-32.5,298.5
183,09:30:25.342,153.5,-239.0,19.5,-25.0,314.5
185,09:30:25.344,155.0,-226.0,18.5,-3.0,326.0
187,09:30:25.346,94.0,-237.5,18.0,-16.0,315.0
189,09:30:25.348,50.5,-258.0,17.0,-22.0,324.5
191,09:30:25.350,42.5,-269.5,16.0,-21.5,324.5
193,09:30:25.352,-8.0,-304.5,15.5,-35.0,302.5
195,09:30:25.354,-67.0,-365.5,15.5,-66.0,287.5
197,09:30:25.356,-119.0,-383.0,15.5,-96.0,294.0
199,09:30:25.358,-152.0,-435.0,16.0,-119.5,288.0
201,09:30:25.360,-200.0,-438.5,16.0,-121.5,287.0
203,09:30:25.362,-240.5,-454.0,15.5,-108.0,313.0
205,09:30:25.364,-345.0,-480.5,16.0,-136.0,312.5
207,09:30:25.366,-405.0,-486.5,17.0,-136.5,316.5
209,09:30:25.368,-467.5,-491.5,18.0,-145.0,315.0
211,09:30:25.370,-544.5,-510.0,18.5,-167.0,292.5
213,09:30:25.372,-659.5,-567.5,17.0,-202.0,256.0
215,09:30:25.374,-677.5,-555.0,14.0,-171.0,276.0
217,09:30:25.376,-686.5,-541.5,10.0,-141.5,292.0
219,09:30:25.378,-769.5,-587.0,7.5,-193.5,244.0
221,09:30:25.380,-814.5,-603.5,6.0,-190.5,223.5
223,09:30:25.382,-837.0,-581.5,5.5,-169.0,237.5
225,09:30:25.384,-917.5,-617.5,5.5,-197.5,182.5
227,09:30:25.386,-1003.5,-641.5,5.0,-225.0,114.0
229,09:30:25.388,-1034.5,-608.0,4.0,-208.0,92.5
231,09:30:25.390,-1071.0,-598.5,1.5,-209.5,59.5
233,09:30:25.392,-1136.5,-628.5,-2.5,-256.0,-11.5
235,09:30:25.394,-1140.0,-611.0,-6.5,-240.0,-42.5
237,09:30:25.396,-1148.0,-611.0,-10.5,-235.5,-75.0
239,09:30:25.398,-1168.0,-609.0,-13.0,-239.5,-124.5
241,09:30:25.400,-1207.5,-618.0,-14.5,-261.5,-181.5
243,09:30:25.402,-1243.0,-624.5,-16.0,-263.0,-227.5
245,09:30:25.404,-1283.5,-624.5,-17.0,-272.0,-291.0
247,09:30:25.406,-1299.5,-623.0,-18.0,-282.0,-344.5
249,09:30:25.408,-1300.0,-635.5,-19.5,-278.5,-376.0
251,09:30:25.410,-1311.5,-655.5,-20.0,-296.5,-427.5
253,09:30:25.412,-1320.0,-640.0,-20.5,-292.0,-457.0
255,09:30:25.414,-1331.5,-655.0,-21.0,-304.5,-497.0
257,09:30:25.416,-1329.0,-667.5,-21.5,-300.0,-527.5
259,09:30:25.418,-1309.0,-670.0,-22.0,-294.0,-544.5
261,09:30:25.420,-1269.0,-664.5,-23.0,-278.5,-544.5
263,09:30:25.422,-1269.0,-688.5,-23.5,-288.0,-580.0
265,09:30:25.424,-1296.5,-728.5,-24.0,-312.0,-631.5
267,09:30:25.426,-1294.0,-733.0,-24.0,-306.0,-652.0
269,09:30:25.428,-1271.0,-714.5,-23.0,-281.5,-648.0
271,09:30:25.430,-1272.5,-714.0,-21.5,-286.0,-674.0
273,09:30:25.432,-1263.5,-719.0,-19.5,-306.5,-718.5
275,09:30:25.434,-1201.0,-695.5,-17.5,-295.5,-728.0
277,09:30:25.436,-1133.5,-671.0,-15.0,-279.0,-730.0
279,09:30:25.438,-1065.0,-659.5,-13.5,-267.0,-739.0
281,09:30:25.440,-1026.0,-660.5,-13.0,-273.0,-759.0
283,09:30:25.442,-982.0,-641.5,-12.5,-267.0,-770.5
285,09:30:25.444,-887.5,-586.5,-12.5,-217.5,-749.5
287,09:30:25.446,-798.5,-531.5,-12.0,-180.5,-723.5
289,09:30:25.448,-730.0,-474.5,-11.5,-149.5,-703.0
291,09:30:25.450,-663.0,-429.5,-11.5,-89.0,-689.0
293,09:30:25.452,-595.5,-393.5,-10.5,-40.5,-678.0
295,09:30:25.454,-539.5,-367.5,-9.5,-7.0,-660.0
297,09:30:25.456,-514.0,-357.0,-8.5,52.0,-654.5
299,09:30:25.458,-448.0,-325.5,-7.5,124.5,-639.0
301,09:30:25.460,-372.5,-270.5,-7.5,226.5,-597.0
303,09:30:25.462,-319.0,-221.0,-7.0,389.0,-579.0
305,09:30:25.464,-370.5,-246.5,-6.5,522.5,-631.5
307,09:30:25.466,-496.5,-370.0,-6.5,565.0,-798.0
309,09:30:25.468,-709.5,-596.5,-7.0,511.5,-1044.5
311,09:30:25.470,-831.0,-721.0,-7.5,350.5,-1219.0
313,09:30:25.472,-941.0,-839.0,-8.0,149.0,-1370.0
315,09:30:25.474,-1038.0,-947.5,-9.0,-22.5,-1508.5
317,09:30:25.476,-1170.5,-1062.5,-10.0,-207.5,-1668.5
319,09:30:25.478,-1316.5,-1206.0,-11.5,-441.5,-1844.0
321,09:30:25.480,-1415.0,-1276.0,-12.5,-742.5,-1951.0
323,09:30:25.482,-1412.0,-1245.0,-14.5,-906.0,-1962.0
325,09:30:25.484,-1430.0,-1259.0,-16.5,-1071.0,-1999.5
327,09:30:25.486,-1469.0,-1271.0,-18.5,-1163.0,-2069.0
329,09:30:25.488,-1572.0,-1327.0,-19.5,-1254.0,-2176.5
331,09:30:25.490,-1579.5,-1324.5,-19.5,-1299.5,-2219.5
333,09:30:25.492,-1450.5,-1209.5,-18.0,-1184.5,-2134.5
335,09:30:25.494,-1303.5,-1077.0,-15.0,-1038.5,-2047.0
337,09:30:25.496,-1167.0,-948.0,-12.0,-839.5,-1966.5
339,09:30:25.498,-1132.0,-918.0,-11.0,-706.5,-1972.0
341,09:30:25.500,-1078.5,-873.5,-11.0,-624.0,-1966.5
343,09:30:25.502,-998.0,-810.0,-11.5,-562.5,-1950.0
345,09:30:25.504,-898.0,-724.0,-12.0,-480.5,-1922.5
347,09:30:25.506,-816.5,-636.5,-13.0,-421.5,-1895.0
349,09:30:25.508,-748.5,-558.5,-14.0,-366.5,-1846.5
351,09:30:25.510,-730.5,-512.5,-15.0,-332.5,-1862.5
353,09:30:25.512,-734.5,-454.0,-15.5,-276.5,-1819.0
355,09:30:25.514,-691.5,-433.5,-15.5,-227.5,-1821.5
357,09:30:25.516,-698.0,-448.0,-15.0,-210.5,-1849.5
359,09:30:25.518,-742.0,-459.5,-14.5,-209.0,-1908.5
361,09:30:25.520,-790.5,-442.5,-13.5,-214.0,-1984.5
363,09:30:25.522,-831.5,-453.5,-13.0,-261.5,-2071.0
365,09:30:25.524,-770.0,-432.0,-13.0,-251.0,-2050.0
367,09:30:25.526,-715.0,-415.0,-13.0,-239.5,-1983.0
369,09:30:25.528,-686.5,-402.0,-12.5,-248.5,-1918.5
371,09:30:25.530,-625.5,-337.5,-12.0,-218.5,-1844.0
373,09:30:25.532,-577.0,-272.0,-11.5,-187.0,-1777.5
375,09:30:25.534,-575.5,-235.0,-11.5,-164.5,-1704.5
377,09:30:25.536,-603.0,-213.5,-11.5,-152.5,-1649.0
379,09:30:25.538,-636.0,-179.5,-11.5,-139.5,-1631.0
381,09:30:25.540,-647.0,-159.5,-10.5,-121.5,-1609.5
383,09:30:25.542,-646.0,-154.5,-9.0,-132.5,-1648.5
385,09:30:25.544,-624.0,-130.5,-6.5,-123.0,-1636.5
387,09:30:25.546,-587.5,-108.0,-4.5,-122.0,-1570.0
389,09:30:25.548,-570.5,-108.0,-2.5,-105.0,-1463.5
391,09:30:25.550,-606.5,-110.5,-1.0,-84.5,-1367.0
393,09:30:25.552,-629.0,-100.5,0.0,-67.0,-1298.5
395,09:30:25.554,-583.5,-100.0,1.0,-60.0,-1253.0
397,09:30:25.556,-574.0,-112.5,1.5,-48.0,-1214.0
399,09:30:25.558,-557.0,-105.0,2.0,-41.0,-1158.0
401,09:30:25.560,-488.0,-79.5,1.5,-20.0,-1062.0
403,09:30:25.562,-457.5,-76.0,1.0,-34.5,-1017.5
405,09:30:25.564,-436.5,-69.5,1.0,-44.0,-961.0
407,09:30:25.566,-353.5,-35.5,0.0,-31.5,-869.0
409,09:30:25.568,-239.5,6.0,-0.5,-16.5,-808.5
411,09:30:25.570,-110.0,46.5,-2.0,-14.0,-780.5
413,09:30:25.572,25.5,110.0,-3.5,16.0,-740.5
415,09:30:25.574,142.5,132.0,-4.5,15.5,-737.5
417,09:30:25.576,214.5,159.0,-5.0,17.5,-747.5
419,09:30:25.578,253.5,161.0,-5.0,17.5,-740.5
421,09:30:25.580,311.5,139.5,-6.5,11.5,-732.5
423,09:30:25.582,372.5,160.0,-8.5,32.0,-681.0
425,09:30:25.584,307.0,150.5,-10.5,17.0,-636.5
427,09:30:25.586,387.5,209.5,-11.5,32.5,-589.5
429,09:30:25.588,514.0,282.0,-11.5,81.5,-527.0
431,09:30:25.590,591.5,320.0,-10.5,96.0,-494.0
433,09:30:25.592,679.5,325.5,-9.5,91.0,-469.0
435,09:30:25.594,763.5,370.0,-9.0,102.5,-428.0
437,09:30:25.596,728.0,376.0,-8.5,99.0,-401.0
439,09:30:25.598,707.0,379.5,-8.0,104.0,-370.0
441,09:30:25.600,711.0,382.0,-7.5,110.0,-325.0
443,09:30:25.602,743.0,379.5,-6.5,128.5,-261.5
445,09:30:25.604,689.0,405.5,-5.5,128.5,-228.5
447,09:30:25.606,555.5,432.5,-4.5,125.0,-240.5
449,09:30:25.608,430.0,465.5,-5.0,128.5,-265.0
451,09:30:25.610,408.0,511.0,-6.0,136.0,-282.0
453,09:30:25.612,340.5,534.0,-7.5,134.5,-296.0
455,09:30:25.614,340.5,561.5,-8.5,157.5,-271.5
457,09:30:25.616,343.0,553.5,-9.5,149.5,-257.0
459,09:30:25.618,347.5,556.0,-10.0,153.0,-191.5
461,09:30:25.620,384.5,553.5,-10.5,146.0,-134.5
463,09:30:25.622,401.0,545.0,-11.0,171.0,-98.0
465,09:30:25.624,479.5,579.5,-10.5,193.0,-79.5
467,09:30:25.626,524.0,599.5,-8.5,201.5,-58.0
469,09:30:25.628,558.0,599.0,-6.5,194.0,-63.5
471,09:30:25.630,606.0,629.5,-5.0,205.5,-33.0
473,09:30:25.632,605.5,658.0,-4.5,222.5,16.0
475,09:30:25.634,609.0,676.0,-4.0,217.5,51.5
477,09:30:25.636,673.0,721.0,-2.5,221.5,90.5
479,09:30:25.638,854.5,745.0,-1.0,225.0,105.5
481,09:30:25.640,909.0,765.0,0.0,232.0,144.5
483,09:30:25.642,899.0,797.0,2.0,246.5,176.0
485,09:30:25.644,933.0,820.5,3.5,238.0,174.5
487,09:30:25.646,928.5,861.0,4.0,250.0,182.5
489,09:30:25.648,918.0,863.5,3.5,251.0,167.5
491,09:30:25.650,938.0,820.0,2.5,246.0,128.0
493,09:30:25.652,903.0,804.0,0.5,243.5,159.0
495,09:30:25.654,820.5,762.5,-0.5,240.0,145.5
497,09:30:25.656,640.0,747.5,-2.0,246.5,120.5
499,09:30:25.658,560.0,765.0,-3.5,245.0,107.0
501,09:30:25.660,621.5,757.5,-4.5,232.0,83.5
503,09:30:25.662,646.5,758.0,-5.0,203.5,79.0
505,09:30:25.664,626.0,760.5,-5.5,205.0,12.5
507,09:30:25.666,665.0,768.0,-5.5,214.5,-41.5
509,09:30:25.668,698.5,809.5,-5.0,201.0,-39.0
511,09:30:25.670,647.0,808.5,-4.5,171.5,-50.0
513,09:30:25.672,595.0,778.0,-4.5,138.5,-100.5
515,09:30:25.674,538.0,820.0,-4.5,154.5,-72.0
517,09:30:25.676,484.0,871.5,-4.0,143.0,-28.0
519,09:30:25.678,460.0,868.0,-3.5,157.0,6.5
521,09:30:25.680,474.5,790.0,-3.5,171.0,5.5
523,09:30:25.682,522.5,688.5,-3.0,165.5,0.5
525,09:30:25.684,565.5,604.5,-2.5,170.5,1.5
527,09:30:25.686,565.5,553.0,-1.5,176.5,34.0
529,09:30:25.688,546.0,638.0,-0.5,166.0,156.0
531,09:30:25.690,513.5,715.5,0.0,169.5,271.0
533,09:30:25.692,507.0,755.5,0.0,181.5,327.5
535,09:30:25.694,442.5,829.5,1.0,171.5,357.5
537,09:30:25.696,373.5,816.0,2.5,162.0,371.5
539,09:30:25.698,259.5,796.5,5.0,151.5,396.0
541,09:30:25.700,116.0,775.5,6.0,143.0,390.5
543,09:30:25.702,-66.5,705.0,6.0,145.5,387.0
545,09:30:25.704,-333.5,640.0,6.0,147.0,394.5
547,09:30:25.706,-645.5,515.5,6.5,132.5,374.0
549,09:30:25.708,-883.5,510.5,6.5,122.5,384.5
551,09:30:25.710,-1009.5,499.5,6.5,124.0,359.0
553,09:30:25.712,-976.0,424.5,6.5,126.0,327.5
555,09:30:25.714,-969.5,539.0,6.0,128.5,368.0
557,09:30:25.716,-1016.5,515.5,5.5,124.0,429.0
559,09:30:25.718,-1122.0,568.5,4.5,109.5,501.5
561,09:30:25.720,-1324.0,720.5,4.0,80.0,563.5
563,09:30:25.722,-1502.0,769.5,3.0,76.5,642.0
565,09:30:25.724,-1662.5,813.0,2.5,66.0,718.0
567,09:30:25.726,-1704.0,810.0,2.0,54.0,771.5
569,09:30:25.728,-1579.0,748.5,1.5,49.5,756.5
571,09:30:25.730,-1402.5,664.0,1.0,64.0,759.0
573,09:30:25.732,-1343.5,582.5,0.5,60.0,885.5
575,09:30:25.734,-1394.5,555.0,0.5,49.0,1007.5
577,09:30:25.736,-1490.5,623.5,0.5,42.5,1145.5
579,09:30:25.738,-1587.5,722.5,0.0,38.5,1313.0
581,09:30:25.740,-1731.5,640.0,0.5,40.0,1466.0
583,09:30:25.742,-1924.5,690.0,1.0,50.0,1638.0
585,09:30:25.744,-1957.5,799.5,1.0,67.0,1774.0
587,09:30:25.746,-1830.0,853.5,1.0,68.0,1939.0
589,09:30:25.748,-1697.5,858.5,2.0,60.0,2088.5
591,09:30:25.750,-1602.5,895.0,3.5,60.0,2209.0
593,09:30:25.752,-1671.0,914.5,5.5,49.5,2265.0
595,09:30:25.754,-1819.0,894.5,7.5,49.5,2280.0
597,09:30:25.756,-2011.5,825.0,9.5,19.5,2254.0
599,09:30:25.758,-2124.0,818.0,11.0,26.0,2271.0
601,09:30:25.760,-2189.5,788.0,11.5,9.5,2276.0
603,09:30:25.762,-2288.0,808.5,11.5,15.0,2329.0
605,09:30:25.764,-2419.5,872.0,13.0,23.5,2415.0
607,09:30:25.766,-2655.5,885.0,15.5,-8.0,2380.0
609,09:30:25.768,-2883.5,857.0,18.0,-4.0,2347.0
611,09:30:25.770,-3053.5,767.5,20.0,-57.0,2263.5
613,09:30:25.772,-3098.5,671.0,21.5,-87.5,2238.0
615,09:30:25.774,-3190.0,592.5,22.0,-111.5,2213.5
617,09:30:25.776,-3228.0,523.0,21.5,-112.0,2137.5
619,09:30:25.778,-3189.5,462.5,20.0,-121.0,2033.0
621,09:30:25.780,-3154.5,390.5,19.0,-160.5,1932.0
623,09:30:25.782,-3113.0,360.5,18.0,-173.0,1875.0
625,09:30:25.784,-3067.0,365.0,17.5,-194.5,1858.0
627,09:30:25.786,-3083.5,333.0,16.0,-187.5,1905.5
629,09:30:25.788,-3201.0,299.5,14.0,-194.0,1938.5
631,09:30:25.790,-3339.0,301.0,12.0,-207.0,1951.0
633,09:30:25.792,-3463.0,320.5,11.0,-228.5,1936.0
635,09:30:25.794,-3542.5,367.5,10.5,-229.5,1919.0
637,09:30:25.796,-3567.0,348.5,10.0,-228.5,1895.0
639,09:30:25.798,-3527.0,305.5,11.0,-228.5,1928.5
641,09:30:25.800,-3327.0,285.0,12.5,-227.0,1996.5
643,09:30:25.802,-3066.5,309.0,13.0,-225.0,2032.0
645,09:30:25.804,-2937.5,357.0,13.5,-212.0,2037.5
647,09:30:25.806,-2894.0,361.5,14.0,-227.5,2043.5
649,09:30:25.808,-2835.5,366.0,14.0,-220.0,2088.5
651,09:30:25.810,-2778.0,361.5,14.0,-177.5,2147.0
653,09:30:25.812,-2774.5,295.0,14.5,-174.0,2141.0
655,09:30:25.814,-2768.0,182.0,15.0,-166.0,2134.5
657,09:30:25.816,-2683.5,145.5,15.5,-173.0,2170.0
659,09:30:25.818,-2549.0,128.0,15.5,-203.0,2159.5
661,09:30:25.820,-2409.5,141.5,15.5,-195.0,2143.0
663,09:30:25.822,-2275.5,124.5,14.5,-196.5,2142.0
665,09:30:25.824,-2103.5,66.0,12.5,-199.5,2128.5
667,09:30:25.826,-1944.5,36.0,11.0,-205.5,2131.5
669,09:30:25.828,-1767.0,34.5,10.5,-230.5,2157.0
671,09:30:25.830,-1636.5,-37.0,10.0,-252.0,2166.5
673,09:30:25.832,-1515.0,-37.5,8.5,-243.0,2195.0
675,09:30:25.834,-1399.0,-35.0,7.0,-235.5,2243.5
677,09:30:25.836,-1294.0,-42.5,7.0,-230.0,2251.0
679,09:30:25.838,-1159.0,-55.0,7.5,-228.0,2238.0
681,09:30:25.840,-1023.5,-91.5,8.0,-251.0,2205.5
683,09:30:25.842,-893.5,-117.0,7.0,-268.5,2173.0
685,09:30:25.844,-751.0,-144.5,6.0,-252.0,2147.5
687,09:30:25.846,-615.5,-192.0,5.5,-261.5,2118.5
689,09:30:25.848,-515.0,-248.0,5.5,-256.5,2121.0
691,09:30:25.850,-473.5,-298.5,6.0,-269.0,2120.0
693,09:30:25.852,-377.0,-306.5,5.5,-277.0,2113.0
695,09:30:25.854,-294.0,-358.5,5.5,-286.0,2080.5
697,09:30:25.856,-255.5,-408.0,4.5,-273.5,2087.0
699,09:30:25.858,-135.5,-417.0,3.5,-253.0,2097.0
701,09:30:25.860,8.5,-435.5,3.5,-222.5,2076.0
703,09:30:25.862,88.0,-440.0,4.5,-233.0,1973.5
705,09:30:25.864,48.0,-467.0,6.5,-240.0,1862.5
707,09:30:25.866,-38.0,-483.0,7.5,-223.5,1784.0
709,09:30:25.868,47.0,-504.0,8.0,-204.5,1726.5
711,09:30:25.870,85.5,-544.5,9.5,-215.0,1639.0
713,09:30:25.872,69.0,-533.5,11.0,-221.5,1554.0
715,09:30:25.874,167.0,-504.0,12.5,-226.5,1478.0
717,09:30:25.876,305.0,-460.5,13.0,-212.0,1406.5
719,09:30:25.878,346.0,-439.5,12.0,-202.0,1323.5
721,09:30:25.880,326.0,-434.0,11.0,-193.5,1222.0
723,09:30:25.882,240.0,-465.0,10.5,-207.0,1093.5
725,09:30:25.884,206.5,-448.0,9.5,-190.0,1036.5
727,09:30:25.886,188.0,-428.0,8.5,-193.0,977.0
729,09:30:25.888,172.0,-423.0,7.5,-179.0,913.5
731,09:30:25.890,158.0,-404.0,7.0,-130.0,893.5
733,09:30:25.892,98.5,-422.5,7.0,-155.0,817.5
735,09:30:25.894,81.0,-414.0,6.0,-160.0,771.0
737,09:30:25.896,81.5,-397.0,5.5,-149.5,732.5
739,09:30:25.898,101.0,-364.5,6.0,-135.5,717.0
741,09:30:25.900,147.0,-350.0,6.5,-126.0,713.0
743,09:30:25.902,231.5,-340.0,7.5,-119.5,701.5
745,09:30:25.904,317.0,-331.0,8.5,-110.0,691.0
747,09:30:25.906,334.5,-363.5,8.0,-137.0,639.0
749,09:30:25.908,357.0,-376.5,7.0,-162.0,595.0
751,09:30:25.910,414.0,-348.0,6.0,-165.5,545.0
753,09:30:25.912,438.5,-341.5,5.0,-182.0,476.5
755,09:30:25.914,471.5,-347.0,4.5,-197.0,420.5
757,09:30:25.916,510.5,-366.0,4.5,-190.0,364.0
759,09:30:25.918,532.0,-366.5,4.5,-188.5,344.5
761,09:30:25.920,560.0,-337.5,5.0,-193.0,384.5
763,09:30:25.922,587.0,-335.5,5.5,-199.5,388.5
765,09:30:25.924,607.0,-311.0,5.0,-204.5,344.0
767,09:30:25.926,585.0,-302.0,4.0,-220.5,283.0
769,09:30:25.928,590.5,-272.0,2.5,-218.5,258.5
771,09:30:25.930,612.0,-200.0,1.5,-196.0,271.0
773,09:30:25.932,645.5,-105.0,2.5,-168.5,255.5
775,09:30:25.934,652.5,-58.5,4.0,-144.5,252.0
777,09:30:25.936,635.0,-55.0,6.0,-152.5,263.0
779,09:30:25.938,653.5,-52.0,7.0,-148.0,263.0
781,09:30:25.940,666.5,-65.5,8.5,-141.0,238.5
783,09:30:25.942,707.0,-37.0,9.5,-130.0,227.0
785,09:30:25.944,738.5,-18.0,11.0,-119.0,238.0
787,09:30:25.946,809.0,43.0,11.5,-94.5,286.0
789,09:30:25.948,842.0,77.0,12.0,-92.0,288.5
791,09:30:25.950,892.0,96.5,13.0,-81.0,273.0
793,09:30:25.952,933.5,111.5,14.0,-81.5,262.0
795,09:30:25.954,953.5,98.5,14.5,-91.0,248.0
797,09:30:25.956,965.0,67.0,14.5,-92.0,259.5
799,09:30:25.958,987.0,50.0,13.5,-88.0,294.0
801,09:30:25.960,1004.0,-10.0,12.5,-107.0,222.5
803,09:30:25.962,1004.5,-54.5,13.0,-120.0,137.0
805,09:30:25.964,988.5,-89.5,14.0,-123.0,102.5
807,09:30:25.966,1015.5,-177.0,15.0,-118.0,19.5
809,09:30:25.968,1010.0,-246.5,16.0,-119.0,-56.5
811,09:30:25.970,988.0,-262.0,16.0,-120.5,-84.5
813,09:30:25.972,964.5,-342.5,16.0,-130.0,-155.5
815,09:30:25.974,886.5,-338.0,16.0,-169.0,-119.0
817,09:30:25.976,812.0,-361.0,16.5,-167.5,-34.5
819,09:30:25.978,777.0,-380.0,17.5,-124.0,5.0
821,09:30:25.980,668.5,-244.0,19.0,-152.5,2.0
823,09:30:25.982,600.5,-157.5,20.0,-159.0,14.0
825,09:30:25.984,518.5,-82.0,21.0,-148.5,45.0
827,09:30:25.986,461.0,-53.0,21.0,-150.5,51.0
829,09:30:25.988,433.0,-93.0,20.0,-153.5,20.5
831,09:30:25.990,420.0,-141.5,19.0,-134.5,-66.0
