,TIME,FP1,FP2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,P7,P8,Fz,Cz,Pz,FC1,FC2,CP1,CP2,FC5,FC6,CP5,CP6
1,09:30:25.160,-1.5991,1.8203,15.9083,11.259,8.2118,4.5402,6.6433,-0.4837,0.9125,-14.3689,7.1672,3.1479,1.7768,6.3485,13.611,11.2116,4.873,11.4978,7.7836,9.2932,1.6833,5.6732,1.45,6.034,0.1122
3,09:30:25.162,0.9828,7.126,13.3027,4.8078,6.3692,2.879,5.4338,-1.4267,2.3566,-13.8896,5.9341,2.9305,7.4312,8.7822,11.3605,10.0911,4.1695,9.6497,5.2622,7.8734,0.552,3.0781,0.9486,3.213,-2.7544
5,09:30:25.164,4.7597,12.1995,8.2413,-3.8244,3.5234,0.1682,3.5063,-3.0509,3.2806,-14.2554,3.5263,2.2607,13.0815,9.8643,7.1098,7.8462,2.4826,6.3002,1.4146,5.4577,-1.5263,-0.9017,0.2088,-0.3185,-5.6658
7,09:30:25.166,8.8319,14.7947,1.2525,-12.5889,-0.1383,-3.2011,0.7113,-5.6096,2.4742,-16.4237,0.4649,1.2776,16.0441,7.5879,1.3915,4.5655,-0.3969,1.7657,-3.0802,2.2163,-4.4569,-5.6432,-0.3389,-3.9623,-7.9287
9,09:30:25.168,12.1687,14.3201,-6.2618,-19.7175,-4.0132,-6.4936,-2.6915,-8.894,-0.3681,-20.3432,-2.3667,0.2538,15.3228,2.2431,-4.5505,0.875,-4.0248,-3.0902,-7.3607,-1.2752,-7.6815,-10.1964,-0.7626,-7.0667,-9.395
11,09:30:25.170,14.4594,12.1387,-12.9445,-24.6362,-7.3191,-9.0191,-5.9855,-12.0234,-4.0408,-24.5783,-4.5242,-0.7103,12.6114,-3.1467,-9.5538,-2.3637,-7.413,-7.3316,-10.8185,-4.2775,-10.4349,-13.8149,-1.4703,-9.2401,-10.1791
13,09:30:25.172,16.4683,10.2042,-18.2992,-27.8715,-9.5649,-10.4741,-8.424,-13.9313,-6.5843,-27.2513,-6.3599,-1.7758,10.9948,-5.1497,-13.2277,-4.5654,-9.668,-10.4862,-13.2522,-6.3098,-12.1999,-16.3223,-2.4204,-10.5847,-10.3216
15,09:30:25.174,19.3161,9.4516,-22.5344,-30.0525,-10.7473,-10.9185,-9.6972,-14.1618,-6.8338,-27.5085,-8.389,-3.0279,12.3145,-2.9302,-15.8371,-5.64,-10.5462,-12.5963,-14.6391,-7.3311,-12.9094,-17.9073,-2.742,-11.4818,-9.8166
17,09:30:25.176,23.1945,9.4828,-25.5683,-30.8668,-10.982,-10.4059,-9.8843,-13.0846,-5.2305,-25.9871,-10.2764,-4.0286,15.5516,1.2404,-17.4902,-5.6805,-10.3201,-13.6979,-14.7744,-7.4439,-12.6665,-18.4935,-1.3991,-11.9547,-8.7544
19,09:30:25.178,26.8358,9.6148,-26.3487,-28.9502,-9.9694,-8.6532,-8.9512,-11.1976,-3.0426,-23.7391,-10.6679,-3.829,17.7567,4.6737,-17.5298,-4.482,-9.1057,-13.311,-13.1636,-6.4333,-11.2992,-17.3887,1.7782,-11.2501,-7.1259
21,09:30:25.180,28.4902,9.9577,-23.4308,-22.9653,-7.0183,-5.141,-6.4775,-8.2977,-0.8608,-20.8162,-8.277,-1.608,16.7013,7.2802,-14.8947,-1.5138,-6.4716,-10.6201,-9.3291,-3.7363,-8.311,-13.7655,5.9149,-8.2867,-4.4411
23,09:30:25.182,27.5438,11.3568,-16.4064,-13.0355,-1.7989,0.3534,-2.1001,-3.6282,1.924,-16.2449,-3.18,2.5864,12.8007,11.4234,-9.1914,3.4873,-1.9081,-5.3168,-3.316,0.9707,-3.4117,-7.6508,9.9788,-2.7534,0.1052
25,09:30:25.184,25.0429,14.4304,-6.7295,-1.2252,4.8982,7.2285,3.7111,2.9199,6.0296,-9.6323,3.1089,7.7179,8.5847,18.5053,-1.3926,9.8548,4.2415,1.7197,4.0227,7.0927,2.8378,-0.4192,13.6473,4.2125,6.6565
27,09:30:25.186,22.4694,18.8875,3.0205,9.513,11.2982,14.0479,9.4648,9.8271,10.8033,-2.6802,8.9369,12.426,6.3385,26.0155,6.605,16.0138,10.4235,8.6876,11.2348,13.1028,8.9576,5.8782,17.1327,10.5934,13.7875
29,09:30:25.188,20.1158,23.7938,10.8098,17.1128,15.722,19.1749,13.4538,14.5082,14.1331,1.3207,13.7992,15.8866,6.1989,28.6808,13.1799,20.3241,14.6543,13.9468,16.8834,17.3624,13.2679,9.8724,20.3302,14.8841,18.9328
31,09:30:25.190,17.0119,28.2712,16.1717,21.3513,17.6602,21.6544,14.903,15.224,14.0749,-0.048,18.2262,18.1322,6.3981,23.1036,17.8063,22.0692,15.8613,16.9556,20.1817,19.1256,14.8832,11.6927,22.5521,16.9706,20.2165
33,09:30:25.192,12.6505,31.7564,19.7097,23.2056,17.8523,21.7091,14.3913,12.6014,10.6337,-6.1305,22.4882,19.6715,5.2158,11.3468,20.7977,21.7452,14.5956,18.2316,21.2423,18.8702,14.1911,12.4985,23.3351,17.6717,18.1084
35,09:30:25.194,8.567,33.7653,21.7932,23.3714,17.3705,20.4738,13.1753,9.2025,5.8896,-13.443,25.6955,20.895,2.6679,-0.3229,22.4092,20.4515,12.4887,18.4885,20.7925,17.7277,12.4566,13.2384,23.3274,17.5475,15.167
37,09:30:25.196,7.7265,33.8754,21.8998,21.4879,16.6601,19.1659,12.1132,7.4387,2.3207,-18.2627,26.4009,21.8221,0.42,-6.5067,22.3209,18.9887,10.9823,17.8715,19.5752,16.5803,10.8982,13.8569,24.0034,16.3199,13.9086
39,09:30:25.198,11.9838,32.2361,19.2399,16.8122,15.4161,18.3154,11.1903,7.7549,0.9548,-19.2358,24.0597,22.2688,0.2155,-6.7116,20.0103,17.4438,10.441,16.0117,17.882,15.5906,9.9602,13.6177,26.3093,13.4782,14.7715
41,09:30:25.200,20.0911,29.8673,13.9093,9.5638,13.2489,17.6161,9.9503,8.7022,1.0318,-17.7636,19.7149,22.0942,2.4177,-4.664,15.5366,15.4939,10.2837,12.7202,15.5646,14.4273,9.2701,12.0554,29.6402,9.2713,16.0953
43,09:30:25.202,28.3381,27.8868,7.3338,1.4924,10.3384,16.4399,8.2383,8.6273,1.2551,-16.133,15.1658,21.247,5.9381,-4.0209,9.8795,13.0016,9.8091,8.5321,12.4807,12.8238,8.2033,9.5364,32.2177,4.8972,15.9945
45,09:30:25.204,33.2961,26.1192,1.5515,-4.9544,7.4345,14.5202,6.4912,7.2234,1.2226,-15.3638,11.5573,19.685,9.4013,-4.9491,4.4917,10.3148,8.8885,4.5471,8.9476,10.9318,6.5375,6.9556,32.4256,1.6653,14.1558
47,09:30:25.206,34.1207,22.7617,-2.0241,-8.1357,5.3066,12.2182,5.3885,5.5612,1.686,-14.6731,8.8493,17.4064,12.3174,-4.6617,0.4967,8.0711,8.0036,1.7415,5.7456,9.2398,4.6814,5.0084,29.8013,0.0515,11.8703
49,09:30:25.208,32.5066,16.0791,-3.3672,-8.142,4.229,10.2039,5.2941,4.8637,3.61,-12.6661,6.5062,14.628,15.2002,-0.753,-1.8082,6.7555,7.7558,0.3742,3.615,8.2125,3.3412,3.7716,25.0171,-0.4189,10.5736
51,09:30:25.210,30.7608,6.8105,-3.6505,-6.5409,3.9099,8.9019,5.998,5.401,7.0976,-8.8417,4.3948,11.8726,18.6494,6.317,-2.8762,6.3884,8.3446,-0.0638,2.679,7.9618,2.9308,2.8544,19.2889,-0.5064,10.5845
53,09:30:25.212,29.9757,-1.3652,-4.3531,-5.3167,3.7898,8.1969,6.8837,6.4539,11.1524,-4.088,2.8551,9.7515,22.3358,13.7311,-3.4802,6.5252,9.3986,-0.4111,2.3222,8.1618,3.2148,1.8022,13.8722,-0.6261,11.1883
55,09:30:25.214,29.6537,-4.3948,-6.2749,-5.7594,3.3924,7.5905,7.3047,7.077,14.3243,-0.0548,2.0623,8.5532,24.855,18.6495,-4.268,6.5134,10.2079,-1.2733,1.6609,8.2423,3.4652,0.3655,9.7232,-0.7964,11.6017
57,09:30:25.216,28.5217,-1.3494,-9.0202,-7.8263,2.5313,6.6007,6.9014,6.758,15.569,1.8061,1.6548,8.0129,24.6263,19.8057,-5.4688,5.8483,10.1477,-2.6838,0.2112,7.7418,2.9942,-1.4363,7.1387,-0.9355,11.5902
59,09:30:25.218,25.5162,4.6113,-11.2356,-10.1716,1.3625,5.0766,5.733,5.5076,14.6866,0.8426,1.1633,7.5364,21.1329,17.3308,-6.7829,4.4597,9.0255,-4.1213,-1.781,6.6029,1.6371,-3.316,5.6172,-0.9909,11.2508
61,09:30:25.220,20.3742,8.9883,-11.4865,-10.8781,0.3068,3.2691,4.2077,3.6262,12.207,-2.6601,0.7024,6.7348,15.5031,11.9208,-7.4999,2.7846,7.1627,-4.8387,-3.5546,5.207,-0.1705,-4.7592,4.3817,-0.8293,10.5632
63,09:30:25.222,13.872,9.8305,-9.2337,-8.6605,-0.1622,1.696,2.8611,1.5492,8.988,-7.628,1.013,5.8014,9.9435,4.6858,-6.8865,1.5451,5.1837,-4.3176,-4.3524,4.1191,-1.7271,-5.2207,3.319,-0.2382,9.3963
65,09:30:25.224,7.7292,8.9624,-5.2282,-3.8767,0.2092,0.8951,2.0955,-0.2037,5.8453,-12.5727,2.6977,5.359,6.428,-2.493,-4.697,1.3275,3.6698,-2.5915,-3.8476,3.7343,-2.5075,-4.4669,3.2948,0.8073,7.8581
67,09:30:25.226,3.9889,9.5165,-1.0306,1.4626,1.3005,1.1459,2.0341,-1.1821,3.3718,-16.1813,5.4416,5.882,5.6249,-7.2592,-1.4655,2.2313,2.9127,-0.2296,-2.2672,4.097,-2.3915,-2.8065,5.2375,1.9489,6.3721
69,09:30:25.228,3.9876,12.5405,1.9528,4.8806,2.7192,2.2805,2.5571,-1.2621,1.9217,-17.8845,8.0578,7.2138,6.8264,-8.0608,1.6995,3.8442,2.8995,2.0143,-0.2427,4.9913,-1.596,-0.9494,8.8316,2.6771,5.2923
71,09:30:25.230,7.5971,16.2075,3.1609,4.9874,4.0707,3.7319,3.4353,-0.7418,1.6338,-18.0111,9.3383,8.6376,8.8034,-5.2598,3.7307,5.55,3.4494,3.6253,1.4797,6.149,-0.4702,0.4261,12.3602,2.8076,4.5424
73,09:30:25.232,13.3702,18.1494,2.8641,2.1599,5.1508,4.8355,4.411,-0.1305,2.3976,-17.3954,8.8954,9.4356,10.7602,-0.8032,4.1888,6.8946,4.3174,4.5096,2.3454,7.3523,0.6472,1.0214,14.0695,2.6376,3.7403
75,09:30:25.234,19.427,18.0794,1.6804,-2.1278,5.9173,5.1735,5.1969,0.1701,3.795,-16.7629,7.2555,9.3978,12.5691,3.3385,3.3847,7.7126,5.1925,4.8415,2.1933,8.3831,1.4575,0.9132,13.6393,2.5655,2.6245
77,09:30:25.236,24.2737,17.8389,0.1715,-6.5559,6.3511,4.7018,5.5058,0.0012,5.1648,-16.3673,5.2419,8.8162,14.2082,6.4523,1.9961,7.9859,5.6996,4.7825,1.2473,8.9766,1.7087,0.3291,12.1536,2.6386,1.2453
79,09:30:25.238,27.0415,19.0822,-1.2204,-10.5761,6.4264,3.6223,5.1956,-0.6151,5.8661,-16.043,3.3272,8.0667,15.1012,8.9717,0.5659,7.686,5.5357,4.3723,-0.0814,8.9252,1.2717,-0.4553,10.7226,2.6179,-0.2224
81,09:30:25.240,27.399,21.372,-2.0842,-13.9829,6.2411,2.2261,4.4297,-1.5189,5.6041,-15.4657,1.5511,7.3077,14.1426,11.4161,-0.6792,6.8219,4.6832,3.675,-1.4004,8.2653,0.2587,-0.995,9.4691,2.494,-1.6486
83,09:30:25.242,25.59,22.715,-2.0753,-16.179,6.1146,0.8877,3.6489,-2.3668,4.5583,-14.3755,-0.034,6.6225,10.5119,13.6776,-1.6108,5.6281,3.4843,2.9772,-2.3746,7.3343,-0.9424,-0.6231,8.0117,2.7568,-2.8085
85,09:30:25.244,22.4914,21.6737,-1.0654,-16.1212,6.4482,0.1009,3.2942,-2.7009,3.2087,-12.7212,-0.9628,6.3224,4.604,15.2548,-1.9272,4.6009,2.4443,2.757,-2.6499,6.5819,-1.8175,1.2184,6.5942,3.9429,-3.2156
87,09:30:25.246,19.2267,18.5937,0.7979,-13.0829,7.3949,0.3127,3.4784,-2.2714,2.0427,-10.768,-0.5119,6.8662,-1.7696,15.8257,-1.2194,4.2266,1.8979,3.3709,-1.8914,6.2686,-2.0107,4.3952,6.1984,5.8758,-2.3858
89,09:30:25.248,16.3864,14.8256,3.1792,-7.4269,8.6313,1.5668,3.8889,-1.3601,1.3942,-9.0781,1.6571,8.3211,-6.1793,15.3421,0.6155,4.597,1.8203,4.7064,-0.0428,6.3069,-1.5537,7.8104,7.3742,7.4928,-0.4241
91,09:30:25.250,13.6469,11.2141,5.6253,-0.5899,9.4764,3.3149,4.0128,-0.6901,1.4456,-8.2487,4.9716,9.9504,-6.8615,13.6925,3.0287,5.2861,1.9244,6.1258,2.4174,6.3635,-0.8579,9.8723,9.2946,7.5949,1.7442
93,09:30:25.252,10.3758,7.6965,7.5006,5.6678,9.2958,4.6939,3.4899,-0.8891,2.2066,-8.5263,8.1044,10.5365,-3.6273,10.6428,4.9525,5.6317,1.9044,6.7922,4.5649,6.1011,-0.4562,9.4593,10.3478,5.835,2.9258
95,09:30:25.254,6.685,4.2009,7.9564,10.0041,7.8656,5.086,2.3034,-2.0088,3.3881,-9.6553,9.7638,9.2865,2.1513,6.3277,5.3807,5.1754,1.5818,6.1358,5.5053,5.3397,-0.6888,6.6089,9.6438,2.9582,2.5459
97,09:30:25.256,3.7134,1.4127,6.1956,11.6801,5.421,4.4441,0.6912,-3.5906,4.3637,-11.1552,9.4632,6.4747,8.3673,1.6703,3.9304,3.8808,0.8776,4.1094,4.8666,4.0535,-1.5642,2.3561,7.6531,0.0817,1.0018
99,09:30:25.258,2.6936,0.332,1.998,10.3664,2.4203,3.1036,-1.0927,-5.1769,4.4493,-12.7648,7.635,3.1941,13.2093,-2.0018,0.952,2.0088,-0.2513,1.0947,2.9019,2.2999,-2.8648,-2.0789,5.3274,-2.2031,-0.8207
101,09:30:25.260,3.7703,1.214,-3.914,6.1052,-0.7093,1.3693,-2.9363,-6.677,3.374,-14.5817,5.1075,0.5074,15.7672,-3.9569,-2.8067,-0.1303,-1.7716,-2.3756,0.1854,0.212,-4.3474,-5.9903,2.9736,-4.0197,-2.2987
103,09:30:25.262,5.8782,3.2557,-10.082,-0.4218,-3.6434,-0.6357,-4.8371,-8.2214,1.4971,-16.767,2.5367,-1.1407,15.986,-4.6747,-6.6129,-2.2864,-3.4848,-5.8168,-2.7442,-1.9566,-5.85,-9.2263,0.3633,-5.6592,-3.3674
105,09:30:25.264,7.7846,5.3838,-15.0459,-7.7607,-6.1062,-2.7685,-6.764,-9.7848,-0.5024,-19.1964,0.2809,-1.8035,14.2281,-5.3875,-9.9419,-4.2318,-5.0698,-8.8324,-5.504,-3.8659,-7.2657,-11.7621,-2.1989,-7.0644,-4.28
107,09:30:25.266,9.096,7.1181,-18.0826,-14.1449,-7.8798,-4.6971,-8.5845,-11.1107,-2.1926,-21.4832,-1.4106,-1.6116,10.9276,-6.9939,-12.4873,-5.7616,-6.2993,-11.1223,-7.8144,-5.2625,-8.5006,-13.4244,-3.4883,-7.9587,-5.2938
109,09:30:25.268,10.1825,8.4981,-19.3847,-18.3812,-8.9212,-6.076,-10.1264,-12.0334,-3.645,-23.3315,-2.3601,-0.6858,6.6148,-9.4208,-14.1642,-6.8055,-7.2309,-12.5623,-9.4975,-6.156,-9.4999,-14.0614,-2.4385,-8.3594,-6.5806
111,09:30:25.270,11.3281,9.3488,-19.5625,-20.4261,-9.3969,-6.857,-11.2761,-12.7339,-5.1427,-24.768,-2.6785,0.602,2.1547,-11.9616,-15.1029,-7.4831,-8.1252,-13.2502,-10.5442,-6.7782,-10.2746,-13.8017,0.5162,-8.7049,-8.1725
113,09:30:25.272,12.2636,9.0198,-18.8983,-21.0691,-9.4635,-7.2609,-11.9481,-13.5152,-6.6852,-25.9531,-2.8056,1.6085,-1.2278,-14.0394,-15.475,-7.9215,-9.0974,-13.344,-11.043,-7.2752,-10.8023,-12.9104,3.5537,-9.2906,-9.7448
115,09:30:25.274,12.6057,7.0964,-16.9787,-20.9359,-8.9234,-7.3233,-11.9076,-14.2744,-7.8045,-26.766,-3.0302,1.9636,-2.3938,-15.4748,-15.1574,-7.9361,-9.7974,-12.7412,-10.8976,-7.3695,-10.8303,-11.3036,5.0903,-9.6099,-10.4692
117,09:30:25.276,12.5263,4.296,-13.0222,-19.684,-7.1352,-6.5054,-10.6393,-14.2448,-7.8044,-26.5937,-2.8677,2.1827,-0.9829,-16.0191,-13.5551,-6.9097,-9.4314,-10.92,-9.6022,-6.3281,-9.7835,-8.3489,5.209,-8.441,-9.3206
119,09:30:25.278,12.7493,2.4301,-6.6438,-16.1305,-3.3969,-3.8899,-7.5034,-12.3352,-6.1108,-24.519,-1.0965,3.5433,2.2245,-14.8367,-9.8911,-4.0766,-7.1526,-7.2106,-6.4208,-3.3458,-6.9561,-3.385,5.4432,-4.7786,-5.7327
121,09:30:25.280,13.8727,3.2869,1.5909,-9.2404,2.4359,1.1122,-2.1851,-7.8252,-2.455,-19.7738,3.3043,7.115,5.6824,-10.7642,-3.8313,0.9564,-2.5574,-1.3641,-0.9449,1.9015,-1.9335,3.4262,7.3289,1.223,0.0029
123,09:30:25.282,15.8082,7.3947,10.3115,0.8364,9.624,8.1551,4.8667,-0.9257,3.0359,-12.2588,10.0959,12.7645,8.0078,-3.3751,4.0771,7.8379,4.0105,6.0519,6.4132,8.9258,5.0192,10.7993,11.2761,8.2026,6.9544
125,09:30:25.284,17.8603,13.6817,18.0654,12.5105,16.803,15.9496,12.4012,7.0937,9.6852,-2.9626,17.6526,19.0473,8.7736,6.0651,12.5366,15.4845,11.4708,13.7738,14.4105,16.5246,12.8519,16.9915,16.5746,14.4721,14.0224
127,09:30:25.286,19.1848,20.1738,23.9745,23.4407,22.6094,22.7971,18.8354,14.2555,16.1956,6.0067,23.9379,24.0573,8.5499,14.8165,20.0493,22.4206,18.2974,20.3664,21.4427,23.2144,19.9934,20.8743,22.0002,18.9776,20.0998
129,09:30:25.288,19.1577,25.082,27.7883,31.5986,26.1917,27.2603,22.947,18.6418,21.0064,12.1429,27.6732,26.4881,8.2119,20.2314,25.42,27.2635,23.0195,24.7416,26.1547,27.7552,24.9033,22.4452,26.2635,21.5405,23.9873
131,09:30:25.290,17.6375,27.5566,29.4439,35.9599,27.3446,28.6652,24.3524,19.356,23.0782,13.9256,28.7216,26.1686,8.1745,21.5985,27.9687,29.2103,24.8078,26.4027,27.8831,29.5665,26.7113,22.4218,28.3194,22.4059,24.6895
133,09:30:25.292,15.3086,27.7816,28.7493,36.4872,26.3783,27.3326,23.5193,17.1207,22.5264,11.9317,27.6436,23.9411,8.2616,20.6857,27.5824,28.3792,23.8764,25.4589,26.8276,28.9048,25.6355,21.4668,27.8714,21.7716,22.2382
135,09:30:25.294,13.8228,26.492,25.5872,33.6484,23.933,24.4285,21.3881,13.8779,20.4729,8.5085,25.1483,21.159,8.2822,20.2883,24.7531,25.7634,21.3589,22.5397,23.9179,26.6951,22.8568,19.8049,25.7414,19.7653,18.1581
137,09:30:25.296,15.1245,24.2945,20.3509,27.9758,20.7692,21.3398,18.8536,11.4131,18.175,5.9279,21.9351,19.0439,8.6432,21.8175,20.4705,22.6654,18.5941,18.5905,20.342,24.0107,19.7929,17.3892,23.3712,16.6676,14.6124
139,09:30:25.298,20.0132,21.3471,14.0033,19.9957,17.4835,18.8313,16.3684,10.0272,16.2093,4.5328,18.6979,18.0687,10.231,24.0283,15.8006,19.8989,16.2757,14.4983,16.9054,21.4621,17.2155,14.1922,21.5773,12.9142,12.6374
141,09:30:25.300,27.1211,17.7451,7.6198,10.485,14.286,16.6576,13.8605,8.5117,14.4135,2.7097,15.9193,17.7071,13.5103,24.1561,11.3784,17.4118,14.1688,10.7389,13.6912,18.9647,14.9311,10.2878,19.857,8.8443,11.2296
143,09:30:25.302,33.5423,14.2621,1.9455,0.7344,11.1112,14.1162,11.0362,5.5702,12.4839,-1.1553,13.625,16.9197,17.6925,20.5166,7.3337,14.7333,11.6762,7.3926,10.4103,16.1489,12.3567,5.873,17.2361,4.6262,8.5164
145,09:30:25.304,36.8853,12.486,-2.5253,-7.5236,8.0749,11.1291,7.9133,1.3548,10.5033,-6.668,11.5884,15.1891,20.9513,14.1257,3.7966,11.8589,8.74,4.5756,7.1941,13.0901,9.4796,1.4696,13.8511,0.6047,4.0595
147,09:30:25.306,36.9913,13.777,-5.174,-12.631,5.8254,8.7495,5.1681,-2.4339,8.898,-11.474,9.9365,13.2088,21.746,7.789,1.4048,9.6486,6.185,2.8235,4.9938,10.6302,7.2327,-1.8905,11.3602,-2.3348,-0.1216
149,09:30:25.308,35.755,17.8091,-5.291,-13.7232,5.2956,8.4348,3.9023,-3.9842,8.0287,-13.335,9.3989,12.4187,20.1327,3.6673,1.089,9.2418,5.1348,2.8901,5.0165,9.8763,6.8377,-2.9591,11.4838,-3.0165,-1.083
151,09:30:25.310,35.3137,22.3303,-2.7163,-11.1517,6.9588,10.7334,4.8857,-2.8561,7.95,-12.0368,10.6811,13.6842,17.7345,1.8566,3.2188,11.0336,6.0659,5.0542,7.6504,11.2912,8.7363,-1.0686,14.2453,-0.8308,2.3615
153,09:30:25.312,36.3506,24.8701,1.6482,-6.2135,10.3197,14.7521,7.8843,-0.0362,8.5139,-9.1742,13.5412,16.4246,16.2065,1.2822,7.0556,14.2861,8.4426,8.6777,12.0052,14.2732,12.1998,3.2548,17.9748,3.6189,8.5227
155,09:30:25.314,37.8816,25.0176,6.2829,-0.282,14.231,18.9882,11.728,3.284,9.5315,-6.267,16.7277,19.1413,15.5528,1.5219,11.2572,17.7961,11.2539,12.5972,16.6312,17.6682,16.0061,8.5614,21.1032,8.8517,14.3904
157,09:30:25.316,38.2968,24.8793,10.2165,6.0075,17.7618,22.6187,15.1215,6.7107,10.7413,-3.469,19.0554,20.8084,13.9987,3.1639,14.9792,20.8872,13.8317,16.0118,20.6927,20.6841,19.4322,13.4642,23.6107,13.5982,18.1952
159,09:30:25.318,36.4657,26.8852,13.6651,12.7912,20.7006,25.8379,17.4595,10.3683,11.7301,-0.2641,20.4711,21.6044,9.7552,6.2269,18.3298,23.642,16.0837,18.8951,24.3208,23.2515,22.4931,17.3775,26.41,17.5498,20.3868
161,09:30:25.320,32.1836,30.9266,17.3024,20.1196,23.1656,28.9384,18.8845,13.8874,12.0665,2.9108,21.794,22.1936,3.1393,8.7813,21.5993,26.1733,17.9897,21.4439,27.7713,25.4994,25.2463,20.3084,29.4742,20.993,22.2693
163,09:30:25.322,26.1326,33.84,20.861,26.9658,24.8212,31.286,19.6148,16.0475,11.5646,4.2787,23.3122,22.4383,-3.0175,7.947,24.1498,27.8486,19.0488,23.2018,30.3974,27.0136,27.0536,22.0731,31.078,23.7817,24.0017
165,09:30:25.324,19.6832,32.1001,22.6844,31.1274,24.6905,31.455,19.3488,15.5956,10.3142,2.2115,23.8819,21.1217,-5.2702,2.6465,24.3735,27.4503,18.3965,22.9563,30.7071,26.7947,26.7403,21.9525,29.1986,24.8621,24.1259
167,09:30:25.326,14.4412,25.285,20.9339,30.3639,21.901,28.4565,17.4451,12.3352,8.3906,-3.0377,21.7657,17.1367,-2.2284,-4.8711,20.9898,24.1955,15.5282,19.6949,27.5817,24.0504,23.5711,19.2513,23.5653,22.9855,20.9772
169,09:30:25.328,11.4572,16.8993,15.3281,23.9864,16.627,22.7599,13.6923,7.304,5.6504,-9.3088,16.4845,10.9108,4.3226,-10.6607,14.4016,18.5677,10.8759,13.6971,21.4227,19.0206,18.0419,14.1484,16.117,17.9308,14.4103
171,09:30:25.330,10.6056,11.6281,7.6183,13.5965,10.2217,16.0553,8.8011,1.9464,2.0117,-14.2316,9.6888,4.4982,10.8004,-12.3562,6.66,12.1057,5.6387,6.6051,14.0455,12.9813,11.6794,7.876,9.4712,10.968,6.1755
173,09:30:25.332,10.8296,11.5437,0.2885,2.2997,4.3578,10.0529,4.0366,-2.7781,-2.0361,-16.8535,4.0062,0.1411,14.4617,-10.7567,0.0178,6.3739,1.0296,0.3431,7.4374,7.4135,6.0518,2.0081,5.0977,4.0596,-1.2319
175,09:30:25.334,11.1273,14.7011,-5.2004,-7.0271,-0.0164,5.5043,0.3227,-6.5899,-5.4181,-17.739,0.9712,-1.3568,15.0646,-8.3461,-4.5183,2.0835,-2.3824,-4.0995,2.5815,3.1181,1.899,-2.4431,2.8628,-1.4428,-6.1011
177,09:30:25.336,11.233,17.1423,-8.9451,-13.0644,-2.9977,2.2046,-2.3066,-9.5587,-7.2321,-17.911,0.0829,-0.9892,14.371,-6.7557,-7.3471,-0.9591,-4.7534,-6.9555,-0.6905,0.0043,-0.9717,-5.3364,1.8801,-5.4245,-8.2436
179,09:30:25.338,11.2574,16.1907,-11.6294,-16.0385,-5.1953,-0.3225,-4.4221,-11.8331,-7.5832,-18.0027,-0.2147,-0.469,14.2469,-5.969,-9.2622,-3.2591,-6.5581,-8.9563,-2.9622,-2.4266,-3.1437,-7.0297,1.4417,-8.526,-8.6446
181,09:30:25.340,10.8928,12.1266,-13.2856,-16.6343,-6.9621,-2.2215,-6.425,-13.5527,-7.4899,-18.2058,-0.8009,-0.7779,15.1412,-5.5085,-10.448,-5.0263,-8.0902,-10.4166,-4.467,-4.4377,-4.9532,-7.8275,1.3147,-11.1655,-8.4958
183,09:30:25.342,9.4581,7.2968,-13.0771,-14.9972,-8.0314,-3.1675,-8.031,-14.6338,-7.7722,-18.4033,-1.1342,-1.4966,16.0598,-5.3672,-10.3689,-5.9608,-9.1716,-10.9194,-4.8854,-5.7467,-6.1584,-7.6922,1.7049,-12.9829,-8.2787
185,09:30:25.344,6.9844,4.0689,-10.1569,-10.7826,-7.7057,-2.5654,-8.4243,-14.4503,-8.0321,-17.9583,-0.0045,-1.2346,15.6791,-5.2256,-8.3834,-5.425,-9.1704,-9.7036,-3.6447,-5.6685,-6.0206,-6.2833,3.2311,-13.0815,-7.4365
187,09:30:25.346,4.964,3.5175,-4.6246,-4.1113,-5.365,0.0988,-6.8792,-11.9848,-6.9033,-15.6628,3.1913,1.3063,13.4103,-3.3762,-4.3651,-2.8594,-7.3514,-6.3229,-0.3856,-3.5674,-3.7622,-3.2193,6.6166,-10.7525,-4.8669
189,09:30:25.348,5.4269,5.386,2.2678,3.6677,-0.9957,4.8005,-3.3548,-6.7626,-3.4646,-10.5991,7.8586,6.3341,9.6144,2.3052,1.084,1.6953,-3.4744,-1.1278,4.6269,0.6012,0.7523,1.4975,11.8576,-6.1114,0.0357
191,09:30:25.350,8.9245,8.5715,8.6745,10.3797,4.5177,10.5941,1.3078,0.1446,1.5737,-3.4761,12.5961,12.5867,5.1387,11.6127,6.7649,7.2436,1.7045,4.663,10.3087,5.9527,6.5218,7.0771,17.553,-0.2559,6.5621
193,09:30:25.352,13.568,11.4566,12.9631,14.4165,9.5884,15.7243,5.6751,6.2249,6.1389,3.0777,16.0087,17.8342,0.8418,20.6788,11.2286,12.0417,6.5186,9.3779,15.0138,10.8571,11.6173,11.9685,21.4447,5.1385,12.8203
195,09:30:25.354,16.3992,12.2746,14.3209,15.8459,12.6572,18.4275,8.3527,8.9857,8.2934,6.0559,17.3136,20.0665,-2.527,24.3829,13.3205,14.4499,9.203,11.6709,17.2934,13.6958,14.1646,14.5759,22.0678,8.5798,16.7749
